+-----------------------------------+-------+
|               name                | birth |
+-----------------------------------+-------+
| 'Beatle' Bob Matonis              |       |
| 'Hurricane Ryu' Hariken           |       |
| 'Pink' Francis                    |       |
| 'Víbora' Larralde                 |       |
| 42nd Street Pete                  |       |
| A. Panneeirchelvam                |       |
| Aage Nost                         |       |
| Aakash                            |       |
| Aanand Kale                       |       |
| Aanandi Tripathi                  |       |
| Aaro Koiso-Kanttila               |       |
| Aaron Baggaley                    |       |
| Aaron Barnes                      |       |
| Aaron Benoit                      |       |
| Aaron Blabey                      |       |
| Aaron Boyum                       |       |
| Aaron Cullers                     |       |
| Aaron Duffey                      |       |
| Aaron Dunn                        |       |
| Aaron Gaffey                      |       |
| Aaron Garrett                     |       |
| Aaron Kleven                      |       |
| Aaron Maté                        |       |
| Aaron McNally                     |       |
| Aaron Sims                        |       |
| Aaron Waugh                       |       |
| Aaron Wilson                      |       |
| Aarti Puri                        |       |
| Aasheekaa Bathija                 |       |
| Aashif Sheikh                     |       |
| Aashish Chaudhary                 |       |
| Aashish Khan                      |       |
| Abbas                             |       |
| Abbas Esfandiari                  |       |
| Abbey Lessanu                     |       |
| Abbo Assiya                       |       |
| Abby Ball                         |       |
| Abby Lee                          |       |
| Abby Wathen                       |       |
| Abby Yus                          |       |
| Abdallah Amrani                   |       |
| Abdelaziz Meherzi                 |       |
| Abdelmonem Chouayet               |       |
| Abderrazak El Badaoui             |       |
| Abdessamed Miftah El Kheir        |       |
| Abdou El Mesnaoui                 |       |
| Abdul Ghani                       |       |
| Abdullah Al-Salman                |       |
| Abdullah Mishref                  |       |
| Abdulrahman Al-Aqel               |       |
| Abed Asghool                      |       |
| Abel Divol                        |       |
| Abhay Bhargava                    |       |
| Abhinay Kinger                    |       |
| Abhinaya Krishna                  |       |
| Abhinayashree                     |       |
| Abhinayasri                       |       |
| Abhirami                          |       |
| Abhishek Chatterjee               |       |
| Abhishek Gosh                     |       |
| Abhitabh Chandra                  |       |
| Abid Ashiqali                     |       |
| Abner Miranda                     |       |
| Abolfazl Ghorbani                 |       |
| Aboozar Javanmard                 |       |
| Aboubacar Sadikh Ba               |       |
| Abraham White                     |       |
| Abu Basem                         |       |
| Aby Kunjumon                      |       |
| Accapan                           |       |
| Achala Alles                      |       |
| Achim Bergmann                    |       |
| Achita Sikamana                   |       |
| Adair Palácio                     |       |
| Adam Amundsen                     |       |
| Adam Aronson                      |       |
| Adam Baroni                       |       |
| Adam Bennett                      |       |
| Adam Brouillard                   |       |
| Adam Brummitt                     |       |
| Adam Chew                         |       |
| Adam Conlon                       |       |
| Adam Corrie                       |       |
| Adam Faybrem                      |       |
| Adam Ghazi                        |       |
| Adam Jacobs                       |       |
| Adam Meredith                     |       |
| Adam Pope                         |       |
| Adam Simon                        |       |
| Adam Webster                      |       |
| Adam Western                      |       |
| Adama Doumbia                     |       |
| Adama Koné                        |       |
| Adama Ouédraogo                   |       |
| Adama Pamtaba                     |       |
| Adams Anusa                       |       |
| Adan de Anda                      |       |
| Adel Al-Far                       |       |
| Adele Castiglioni                 |       |
| Adele Jacques                     |       |
| Adelina Bielopolsky               |       |
| Adeline Peter Raboff              |       |
| Adil Ashiqali                     |       |
| Adil Hussain                      |       |
| Adilson Corrêa                    |       |
| Aditi Agarwal                     |       |
| Aditi Bhagwat                     |       |
| Aditya Om                         |       |
| Adlin Aman Ramlee                 |       |
| Adman Salleh                      |       |
| Adolfo Yanelli                    |       |
| Adrian Almaraz                    |       |
| Adrian Kaca                       |       |
| Adrian Martinez                   |       |
| Adrian Tiatto                     |       |
| Adriana Aizemberg                 |       |
| Adriana Butoi                     |       |
| Adriana Davidova                  |       |
| Adriana Fricke                    |       |
| Adriana Henao                     |       |
| Adriana Kozub                     |       |
| Adriana Pérez                     |       |
| Adrianna Weryk                    |       |
| Adriano González                  |       |
| Adrien Michaux                    |       |
| Adrienne Alexandra                |       |
| Adrienne Dempsey                  |       |
| Adrienne Fairley                  |       |
| Adriohn Richardson                |       |
| Adriz Jacob                       |       |
| Adrián Brunetti                   |       |
| Adrián Goldberger                 |       |
| Adrián Suárez                     |       |
| Adul Dulyarat                     |       |
| Adán Cesarini                     |       |
| Aedy Ashraf                       |       |
| Afdlin Shauki                     |       |
| Afrim Kasapolli                   |       |
| Afsan                             |       |
| Afsaneh Naseri                    |       |
| Afsoon Afshar                     |       |
| Agapi Manoura                     |       |
| Agheleh Rezaie                    |       |
| Aglaia Pappa                      |       |
| Agni P. Arkadewi                  |       |
| Agnieszka Dobrowolska-Borowiec    |       |
| Agnès Bertrand                    |       |
| Agnès Roland                      |       |
| Aguibou Sanou                     |       |
| Agustín Garvíe                    |       |
| Agy Fodor                         |       |
| Ah Dun                            |       |
| Ah-hyeon Na                       |       |
| Ahmad                             |       |
| Ahmad Adam                        |       |
| Ahmad Al-Salman                   |       |
| Ahmad Najafi                      |       |
| Ahmad Riaz                        |       |
| Ahmed Eid                         |       |
| Ahmed El-Saadany                  |       |
| Ahmed Haroun                      |       |
| Ahmed Rubel                       |       |
| Ahmed Snoussi                     |       |
| Ahmed Yehia                       |       |
| Ahn Suk-hwan                      |       |
| Aida Abdel Aziz                   |       |
| Aida Angotti                      |       |
| Aiden Flynn                       |       |
| Aidée González                    |       |
| Aika Mimori                       |       |
| Aimee Baruah                      |       |
| Aimee Bravo                       |       |
| Aimee Parker                      |       |
| Aimé Kanoui                       |       |
| Airone                            |       |
| Aisha Ibrahim Maiga               |       |
| Aisha Melendrez                   |       |
| Aishwarya                         |       |
| Aishwarya Narkar                  |       |
| Aivar Voitka                      |       |
| Aiza Seguerra                     |       |
| Ajay Raj                          |       |
| Ajay Thomas                       |       |
| Ajedrez Celedonio                 |       |
| Ajihei                            |       |
| Ajmal                             |       |
| Akane Imazeki                     |       |
| Akane Kimura                      |       |
| Akane Kurosawa                    |       |
| Akane Yazaki                      |       |
| Akansha                           |       |
| Akash                             |       |
| Akashi Takei                      |       |
| Akbar                             |       |
| Akebi Futsumoto                   |       |
| Akekaphan Bunluerit               |       |
| Akhdiyat Duta Modjo               |       |
| Aki Kajiwara                      |       |
| Aki Ra                            |       |
| Aki Suzuki                        |       |
| Akifumi Miura                     |       |
| Akihiro Kitamura                  |       |
| Akiko Ishigaki                    |       |
| Akiko Kotei                       |       |
| Akiko Nagoshi                     |       |
| Akiko Tanaka                      |       |
| Akira Fukuhara                    |       |
| Akira Nogami                      |       |
| Akira Yamamoto                    |       |
| Akito Hamamura                    |       |
| Akiva Daum                        |       |
| Akrita Srivastava                 |       |
| Akshay Datt                       |       |
| Akéla Sagna                       |       |
| Al Baker                          |       |
| Al Barr                           |       |
| Al Brown                          |       |
| Al Domeyko                        |       |
| Al Gerschutz                      |       |
| Al Mele                           |       |
| Alain Benatar                     |       |
| Alain Dion                        |       |
| Alain Gendreau                    |       |
| Alain Paucard                     |       |
| Alain Riou                        |       |
